Списання,,,,,,,,,,,
ID списання,Дата,Тип списання,SKU,Назва товару,Кількість,Собівартість 1 од. / ПРРО,Управлінська собівартість 1 од.,Сума списання / ПРРО,Управлінська сума списання,Причина,Примітка
WRT-0080,2026-06-16,Інше,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,2,"41,07 грн","43,53 грн","82,14 грн","87,06 грн",,OC-FOP-0180
WRT-0081,2026-06-16,Інше,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,1,"63,19 грн","66,98 грн","63,19 грн","66,98 грн",,OC-FOP-0180
WRT-0082,2026-06-16,Інше,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,1,"57,61 грн","61,07 грн","57,61 грн","61,07 грн",,OC-FOP-0180
WRT-0083,2026-06-16,Інше,PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,1,"77,36 грн","82,00 грн","77,36 грн","82,00 грн",,OC-FOP-0180
WRT-0084,2026-06-19,Інше,OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,1,"72,54 грн","76,89 грн","72,54 грн","76,89 грн",для формування містері бокса,Продаж MBZ-PHYS-0005
WRT-0085,2026-06-19,Інше,OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,1,"94,07 грн","99,72 грн","94,07 грн","99,72 грн",для формування містері бокса,Продаж MBZ-PHYS-0005
WRT-0086,2026-06-19,Інше,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,1,"75,71 грн","80,25 грн","75,71 грн","80,25 грн",для формування містері бокса,Продаж MBZ-PHYS-0005
WRT-0087,2026-06-19,Інше,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,1,"82,67 грн","87,63 грн","82,67 грн","87,63 грн",для формування містері бокса,Продаж MBZ-PHYS-0005
WRT-0088,2026-06-19,Інше,OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,1,"82,21 грн","87,14 грн","82,21 грн","87,14 грн",для формування містері бокса,Продаж MBZ-PHYS-0005
WRT-0089,2026-06-24,Інше,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,2,"82,67 грн","87,63 грн","165,34 грн","175,26 грн",,OC-FOP-0188
WRT-0090,2026-06-24,Інше,OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,1,"82,21 грн","87,14 грн","82,21 грн","87,14 грн",,OC-FOP-0188
WRT-0091,2026-06-24,Інше,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,1,"75,71 грн","80,25 грн","75,71 грн","80,25 грн",,OC-FOP-0188
WRT-0092,2026-06-24,Інше,OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,1,"94,07 грн","99,72 грн","94,07 грн","99,72 грн",,OC-FOP-0188
WRT-0093,2026-06-27,Інше,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,18,"41,07 грн","43,53 грн","739,26 грн","783,54 грн",Інвентаризаційний перерозподіл SKU,"Інвентаризація 2026-06-27; на MZERO перенесено списання: MSYM 11, MDEX 1, OUTL 6."
WRT-0094,2026-06-27,Інше,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,-11,"57,61 грн","61,07 грн","-633,71 грн","-671,77 грн",Інвентаризаційний перерозподіл SKU,Відновлено 11 MSYM; списання перенесено на MZERO (WRT-0093).
WRT-0095,2026-06-27,Інше,PKM-JP-MDEX-BST,Pokémon — Mega Dream EX — JP — Booster,-1,"314,18 грн","333,03 грн","-314,18 грн","-333,03 грн",Інвентаризаційний перерозподіл SKU,Відновлено 1 MDEX; списання перенесено на MZERO (WRT-0093).
